"","x"
"1",27.1828182845905
"2",24.1601569843149
"3",20.0050628801271
"4",15.6775272353156
"5",12.1569798980323
"6",9.6064067809866
"7",7.90072347556875
"8",6.8078741995821
"9",6.17558055896203
"10",5.89637866849631
"11",5.9333198369993
"12",6.26129263064127
"13",6.86521326956882
"14",7.69355151548136
"15",8.64011918546181
"16",9.49801706594944
"17",10.0396720586942
"18",10.2697538759871
"19",10.2154841506582
"20",10.0185013924163
"21",9.88372672235743
"22",9.88451526386605
"23",10.067134579987
"24",10.4248553703184
"25",10.9598140417199
"26",11.6187024674215
"27",12.3642320168029
"28",13.1768204173013
"29",14.0143788873997
"30",14.6151953941631
"31",14.7126702975164
"32",14.0538269874336
"33",12.7538935798994
"34",11.102129904529
"35",9.46950255378102
"36",8.17057091594793
"37",7.25608790985535
"38",6.68819294427251
"39",6.45563856102486
"40",6.46661560748079
"41",6.71445310561988
"42",7.20771573785873
"43",7.97460877076243
"44",9.03287179208976
"45",10.3217398342064
"46",11.6690755736293
"47",12.8252453900985
"48",13.547458228456
"49",13.6681981004445
"50",13.264664176079
"51",12.5924573684614
"52",11.8536168334256
"53",11.1432788446543
"54",10.5440768935285
"55",10.0343908543803
"56",9.58209980291102
"57",9.21408984480883
"58",8.97623432600726
"59",8.86843402989306
"60",8.91463506907228
"61",9.05224379739261
"62",9.20484559331758
"63",9.32486934601233
"64",9.36101758785976
"65",9.30334725744651
"66",9.20879056081042
"67",9.13582617499205
"68",9.1279656431484
"69",9.23744969265538
"70",9.4752676822028
"71",9.79521489425718
"72",10.2092953773243
"73",10.7412254729306
"74",11.3866688218974
"75",12.0638634886795
"76",12.7072444404229
"77",13.1863901631014
"78",13.2840710126357
"79",12.8921504638835
"80",12.0649452029971
"81",10.9672948845676
"82",9.79877857952788
"83",8.72917964660887
"84",7.86881896954683
"85",7.22061918548708
"86",6.8267566082398
"87",6.6762235179034
"88",6.76896991515946
"89",7.13165713337558
"90",7.80743660829869
"91",8.7461942017005
"92",9.97112977742037
"93",11.2599252495954
"94",12.5161360974338
"95",13.4815603498612
"96",13.9999300262983
"97",13.9696690328462
"98",13.5267043317165
"99",12.8876436282336
"100",12.1598178275346
"101",11.445341573956
"102",10.8219954581764
"103",10.3453094698691
"104",10.0233414148392
"105",9.85969773713431
"106",9.81427330535791
"107",9.86270006235375
"108",9.84968836123142
"109",9.69707329094318
"110",9.39391185328714
"111",8.91371582551352
"112",8.3456129192818
"113",7.78045369235305
"114",7.28754023001094
"115",6.95514129673617
"116",6.81835484029676
"117",6.90130818663179
"118",7.2528114790831
"119",7.92406179890857
"120",8.9724011299596
"121",10.4566545712072
"122",12.3573958702513
"123",14.5357671994214
"124",16.7398883959211
"125",18.4029228462572
"126",18.7797166890113
"127",17.9661213034426
"128",16.2441332092109
"129",13.8940085671061
"130",11.7197853048141
"131",9.94834114533305
"132",8.62461337886126
"133",7.69017803534019
"134",7.09426400579744
"135",6.80405747749214
"136",6.79462596017142
"137",7.01157785318426
"138",7.4167309846159
"139",7.95790367201336
"140",8.54042648438055
"141",9.07623616326349
"142",9.54112256581772
"143",9.88519746879515
"144",10.0381193170673
"145",10.0949205371773
"146",10.1038027635428
"147",10.1360556377609
"148",10.2186425469132
"149",10.4243442488253
"150",10.7760601297274
"151",11.2653645817079
"152",11.8619170982737
"153",12.498686803314
"154",13.0377460365565
"155",13.3141874083686
"156",13.2053268406978
"157",12.735776496768
"158",11.895073453603
"159",10.8351199524898
"160",9.75121207931677
"161",8.7790532082762
"162",8.01004909494891
"163",7.48033936332586
"164",7.18005469226475
"165",7.12708241140624
"166",7.2955414312327
"167",7.67913293957673
"168",8.28619270108371
"169",9.08567349824085
"170",10.0134480579348
"171",10.9864262565793
"172",11.8487378906771
"173",12.4532711292288
"174",12.7012687613354
"175",12.6267201423788
"176",12.2899536341813
"177",11.8073345573455
"178",11.2367803409419
"179",10.6148789633432
"180",10.023277778072
"181",9.53901730257597
"182",9.20510372037087
"183",9.01969345569676
"184",8.92489344606824
"185",8.92579090363237
"186",9.0113457619546
"187",9.14946711681207
"188",9.27853494902755
"189",9.37699464145455
"190",9.45458530171624
"191",9.51055462214539
"192",9.55385801285808
"193",9.60460088485935
"194",9.67209451871134
"195",9.80374055386601
"196",10.0082078035538
"197",10.3058697356136
"198",10.6732870723557
"199",11.0980897881664
"200",11.5365808618517
"201",11.9423224817171
"202",12.2068647763743
"203",12.2342057885924
"204",12.0151671071808
"205",11.4872737259405
"206",10.7531105289168
"207",9.93294802495601
"208",9.13037718891281
"209",8.41833852307106
"210",7.8402388250517
"211",7.43807588737914
"212",7.22613523440008
"213",7.24055551436374
"214",7.49546999189382
"215",7.98514123115122
"216",8.75238806163063
"217",9.70694237394146
"218",10.773654997529
"219",11.8375229806704
"220",12.7312817881822
"221",13.2832678341132
"222",13.4419878438703
"223",13.2101268640726
"224",12.7185042104074
"225",12.0738435767409
"226",11.417783515194
"227",10.8363599245283
"228",10.3438809404104
"229",9.99370258159815
"230",9.77722984783593
"231",9.68745996733912
"232",9.66589072827145
"233",9.66122572173792
"234",9.62584487802551
"235",9.46089326473603
"236",9.16717794994845
"237",8.75719465996289
"238",8.295016670906
"239",7.86763881267014
"240",7.52446146173781
"241",7.3390425163295
"242",7.36520911374168
"243",7.62182899728488
"244",8.12944563815809
"245",8.93388514280949
"246",10.0669695503504
"247",11.4876632498356
"248",13.227269707523
"249",14.9215205086479
"250",16.3491199671347
"251",16.9766160473639
"252",16.8299558179667
"253",15.5429878660784
"254",13.8321404692447
"255",11.9999101207191
"256",10.4147167140867
"257",9.14898013714059
"258",8.22025322596446
"259",7.59336571981348
"260",7.25500160218228
"261",7.15374067876213
"262",7.27364425729872
"263",7.58086031356616
"264",8.035666995213
"265",8.55906613089343
"266",9.13834332712244
"267",9.6362925604152
"268",9.9523499930656
"269",10.0992512911328
"270",10.0724966674622
"271",9.9913466749152
"272",9.94421655018105
"273",10.0214436664922
"274",10.1986923059866
"275",10.4795065587381
"276",10.8883167409216
"277",11.3940178299088
"278",11.9515715642695
"279",12.4636221224728
"280",12.8654389815281
"281",12.9941909735254
"282",12.7717168318735
"283",12.1510344544758
"284",11.2897864632623
"285",10.209423559821
"286",9.22815974759141
"287",8.41528273587194
"288",7.80342276620472
"289",7.43076714899943
"290",7.28375295553553
"291",7.35820061884118
"292",7.64893392057509
"293",8.16034163758192
"294",8.87382883717301
"295",9.73865744809076
"296",10.6901836879252
"297",11.6050129092951
"298",12.2865224966071
"299",12.6353115073904
"300",12.6086240152176
"301",12.2823877343431
"302",11.7788040517654
"303",11.1771049896394
"304",10.6084008808005
"305",10.0637022799504
"306",9.59965996576871
"307",9.23961091011424
"308",9.03393544902537
"309",8.94494828374493
"310",8.96962715260801
"311",9.0962213863469
"312",9.2667820834426
"313",9.43194155780883
"314",9.55663124575791
"315",9.60397740827716
"316",9.58803735648144
"317",9.54752259459149
"318",9.53128343797763
"319",9.55613371735152
"320",9.64655584745895
"321",9.80781911837737
"322",10.0488597163337
"323",10.3811066840661
"324",10.8045703814377
"325",11.2980022276158
"326",11.7906807691769
"327",12.1986505554279
"328",12.3879738756247
"329",12.2849451071993
"330",11.8322952410149
"331",11.1250528030348
"332",10.2580898542682
"333",9.37438448380957
"334",8.55306645811675
"335",7.87295833227559
"336",7.36706881640737
"337",7.08306610371615
"338",7.04891259747906
"339",7.26993744901193
"340",7.7708707031201
"341",8.52128903228984
"342",9.50737545072019
"343",10.6438537899812
"344",11.7922671471201
"345",12.7510754646615
"346",13.3297847169336
"347",13.4790889658734
"348",13.2467149224796
"349",12.7212179296367
"350",12.060085100861
"351",11.3867690416908
"352",10.7777939253647
"353",10.2819613993803
"354",9.92860466929842
"355",9.74519339373701
"356",9.69857192310397
"357",9.74277157994427
"358",9.81039662698015
"359",9.80974588807342
"360",9.66594696990239
"361",9.33238975875952
"362",8.89268252494048
"363",8.4112474368891
"364",7.92210317489864
"365",7.52353496705667
"366",7.2824985935365
"367",7.21606129089234
"368",7.37652583908722
"369",7.81527036202128
"370",8.57449355785089
"371",9.70536876571791
"372",11.2263307812572
"373",13.1131208925988
"374",15.0161947438544
"375",16.6652633724605
"376",17.3659694996741
"377",17.1515443356468
"378",16.0090248658141
"379",14.1050976947975
"380",12.1594002756444
"381",10.4349570605714
"382",9.08881174207887
"383",8.11813605935047
"384",7.47036091295756
"385",7.11525623128189
"386",7.03466032086395
"387",7.18918865144395
"388",7.54232008186548
"389",8.04422751356863
"390",8.6596263149216
"391",9.24710787454569
"392",9.70749664384241
"393",9.97911174229008
"394",10.0681763623394
"395",10.0156967527152
"396",9.9371243353222
"397",9.9013567751164
"398",9.96788941067746
"399",10.1460036847896
"400",10.4379377945993
"401",10.8842985950662
"402",11.462906580083
"403",12.1305047672781
"404",12.7626400141398
"405",13.2271534762269
"406",13.3902522478153
"407",13.0966751902585
"408",12.3411803019368
"409",11.2807852034354
"410",10.145925635459
"411",9.08326030131784
"412",8.22060264103347
"413",7.60744006695675
"414",7.25074100702911
"415",7.12274083973129
"416",7.23065389931087
"417",7.53489531657997
"418",8.07640056998957
"419",8.84752450381229
"420",9.82198539216604
"421",10.8579506652655
"422",11.8189903434102
"423",12.5159575701064
"424",12.8265736956903
"425",12.7554237778579
"426",12.3647195832075
"427",11.8064046911008
"428",11.2157142621377
"429",10.6367558768681
"430",10.0773161118626
"431",9.61324505359078
"432",9.23944894562892
"433",9.0032541113981
"434",8.93310871967913
"435",8.98219010963407
"436",9.10996674274097
"437",9.29435389619766
"438",9.45352367471978
"439",9.54458976453317
"440",9.56626712435581
"441",9.53974440662936
"442",9.48467402740662
"443",9.4678353777301
"444",9.51234364591671
"445",9.61716313381494
"446",9.78186125588653
"447",9.99481760908189
"448",10.2628313324835
"449",10.6391671083057
"450",11.1206213582997
"451",11.6589437790615
"452",12.1446622479153
"453",12.4448276769568
"454",12.4143559633634
"455",12.0135945351066
"456",11.2796587816269
"457",10.3749895857284
"458",9.46957936131308
"459",8.66996717862655
"460",8.01843108348759
"461",7.53731444682741
"462",7.25576899723809
"463",7.16877289284368
"464",7.34066587872706
"465",7.78865360315046
"466",8.50454821675013
"467",9.50167884160309
"468",10.6546212742713
"469",11.791682443233
"470",12.7328738808647
"471",13.2559372213729
"472",13.3160525182259
"473",13.0161532497798
"474",12.4496229750057
"475",11.834079943867
"476",11.1895887042977
"477",10.6038208556938
"478",10.1033394936499
"479",9.75020424596311
"480",9.54271731353609
"481",9.51433075587335
"482",9.62114643747231
"483",9.77250976486797
"484",9.90179062703454
"485",9.92627709694758
"486",9.74620977065143
"487",9.37342661040428
"488",8.90281695482143
"489",8.40572533403292
"490",8.01337560808441
"491",7.66072026294728
"492",7.5236498159814
"493",7.59905303850235
"494",7.92556735205318
"495",8.51997547066581
