"","x"
"1",27.1828182845905
"2",23.2876477054143
"3",17.306852779788
"4",12.4635423688857
"5",9.2594860537137
"6",7.32458708401956
"7",6.29445651775066
"8",5.90763676506396
"9",5.97480925172672
"10",6.41347835423398
"11",7.19114709490716
"12",8.20731080382915
"13",9.2428255627833
"14",10.1391362383123
"15",10.8411554794904
"16",11.4330360188128
"17",12.0000254308903
"18",12.3964083567395
"19",12.4316507940759
"20",12.1446166763876
"21",11.7167558079636
"22",11.262455975924
"23",10.8003260477848
"24",10.2958496366237
"25",9.77417988954297
"26",9.3145055553581
"27",9.03390466210515
"28",8.92015604878774
"29",8.97738373126186
"30",9.11876941106569
"31",9.3271864103509
"32",9.67833665914019
"33",10.1684230640274
"34",10.6381807071077
"35",10.8967721275249
"36",10.8340788364836
"37",10.4161211638116
"38",9.7856132175085
"39",9.16767570780017
"40",8.82893737176854
"41",8.73722502178739
"42",8.85254279574745
"43",9.16762425981328
"44",9.69263148830683
"45",10.4446198192677
"46",11.296931020587
"47",11.9010124655529
"48",12.1101896500374
"49",11.938142506768
"50",11.516868117914
"51",10.8883690536197
"52",10.1136953100548
"53",9.3630975590631
"54",8.7281195843035
"55",8.24676926885098
"56",8.01839431699381
"57",8.13303050403505
"58",8.58633777457313
"59",9.31267092062054
"60",10.2363342150979
"61",11.2063713987362
"62",12.0381314432449
"63",12.5356611390541
"64",12.5577873760625
"65",12.1209347401511
"66",11.3508764714697
"67",10.4056407418502
"68",9.46848824422523
"69",8.68426921769837
"70",8.17107066730742
"71",7.99736400049228
"72",8.15598867768654
"73",8.58447142808628
"74",9.21806676700029
"75",10.0150937237535
"76",10.8264452522685
"77",11.5082650409497
"78",11.9306905586627
"79",12.031744225633
"80",11.780390459232
"81",11.2260608281123
"82",10.5204801894019
"83",9.8631641946706
"84",9.31696983231211
"85",8.97845720022633
"86",8.88487431191589
"87",9.00290750624295
"88",9.31511537760596
"89",9.73194589758715
"90",10.1336229450584
"91",10.3706436746067
"92",10.4236235039322
"93",10.2991428873761
"94",10.0271021097011
"95",9.7499655744103
"96",9.54279767196782
"97",9.41446612809417
"98",9.33005371013412
"99",9.3191018083304
"100",9.39580932503353
"101",9.57743127664004
"102",9.82774388300723
"103",10.1447546755856
"104",10.4959699713521
"105",10.8675732061663
"106",11.2623224407755
"107",11.6458252918656
"108",11.9241256770156
"109",11.9732283299115
"110",11.839461604419
"111",11.541765786412
"112",11.0378060954167
"113",10.334711758856
"114",9.41782735389064
"115",8.3861078841966
"116",7.42121516867241
"117",6.69724030425091
"118",6.3089921290041
"119",6.29097717193193
"120",6.72708275844767
"121",7.76782831880609
"122",9.58259577617245
"123",12.3394087540815
"124",15.9301502206084
"125",19.537161898993
"126",20.9669740919748
"127",19.491345162359
"128",16.1806090472734
"129",12.6733471279454
"130",9.85425331091546
"131",7.93880691461634
"132",6.85876853642315
"133",6.38927056814939
"134",6.37332272365347
"135",6.73858168570682
"136",7.42940184882541
"137",8.29727592976447
"138",9.17727581033406
"139",9.95741178382902
"140",10.6275641731236
"141",11.2187690027072
"142",11.6923325167192
"143",11.9802456730748
"144",12.0557439183702
"145",11.9296764890354
"146",11.6470635959588
"147",11.281588862934
"148",10.8496571586623
"149",10.3492760726974
"150",9.81509979429721
"151",9.32668663314033
"152",8.99435466741654
"153",8.85641190909009
"154",8.89630959922972
"155",9.06846825417437
"156",9.37186715579873
"157",9.81241333185572
"158",10.2989338907689
"159",10.6731528620467
"160",10.8444734434355
"161",10.7667048912168
"162",10.3849444302099
"163",9.85281129666189
"164",9.3611967063914
"165",8.98803006224359
"166",8.82405047179899
"167",8.86382518616397
"168",9.13921299837503
"169",9.6510275979944
"170",10.3714573234892
"171",11.1024245999019
"172",11.5997374890637
"173",11.8443017542131
"174",11.8091081684352
"175",11.4418390666497
"176",10.8747046377664
"177",10.2160647645862
"178",9.53042782677618
"179",8.85173469732096
"180",8.35203754829221
"181",8.12616835403298
"182",8.19925167404884
"183",8.55282558817533
"184",9.19474583211721
"185",10.0607058502003
"186",11.0023248600918
"187",11.8460151092091
"188",12.4008660370576
"189",12.5145683226896
"190",12.1710738502168
"191",11.4586556358988
"192",10.5684912824794
"193",9.64503240090269
"194",8.83884283405522
"195",8.27099724348574
"196",8.02993092007432
"197",8.12178736736513
"198",8.49749201338392
"199",9.11260592592099
"200",9.86814159921675
"201",10.6462076277129
"202",11.2931782685071
"203",11.783491974489
"204",11.9875781654839
"205",11.8411542944013
"206",11.395737650451
"207",10.7613582935745
"208",10.0928939846129
"209",9.51251942905891
"210",9.12998293405135
"211",8.93858104854533
"212",8.90173090968826
"213",9.1158569744891
"214",9.53675583786475
"215",9.97403597558778
"216",10.3033907921163
"217",10.4369973722786
"218",10.3960261888317
"219",10.1676782526284
"220",9.86988073225187
"221",9.63552740251117
"222",9.47520801311117
"223",9.38730706610572
"224",9.36837464684866
"225",9.44548205981915
"226",9.60984798758739
"227",9.84491750379287
"228",10.1095668631667
"229",10.3971977766435
"230",10.704719196254
"231",11.0126624470997
"232",11.3101031653653
"233",11.5471736726756
"234",11.6878130519554
"235",11.6755416122907
"236",11.4624471973623
"237",11.0644760294528
"238",10.4359935751853
"239",9.61243064816617
"240",8.67957207311708
"241",7.77116748725555
"242",7.04474250510686
"243",6.61502002649916
"244",6.52085017470879
"245",6.86200622345552
"246",7.77550847702209
"247",9.40215975516333
"248",11.819287584433
"249",14.9970327151816
"250",18.1169706075952
"251",19.5666809192527
"252",18.5730380242428
"253",15.8456734683289
"254",12.7456783610608
"255",10.0956717188724
"256",8.25785282409084
"257",7.13981145826398
"258",6.61279802680366
"259",6.55439623586703
"260",6.87620404280739
"261",7.48857214070578
"262",8.27504534523781
"263",9.12030791955747
"264",9.90636659690505
"265",10.5892366126398
"266",11.1951840791453
"267",11.6621856137997
"268",11.9352663778329
"269",12.0052421803455
"270",11.9093446811803
"271",11.6535078198119
"272",11.2587015695906
"273",10.7461838459592
"274",10.1988560334791
"275",9.69791135998479
"276",9.32724871858177
"277",9.07388136675495
"278",8.9776126120906
"279",9.02924642278887
"280",9.20811944277767
"281",9.4638731642029
"282",9.80463522924164
"283",10.2004473046304
"284",10.5720300157053
"285",10.7912590562402
"286",10.7477840658064
"287",10.4582563952064
"288",9.99276355054945
"289",9.5281017315771
"290",9.15183051332228
"291",8.93003358065343
"292",8.88134888448796
"293",9.07780140015491
"294",9.49090824323286
"295",10.1204624192645
"296",10.8476637552633
"297",11.453820649719
"298",11.7391223954772
"299",11.6957623872432
"300",11.4007733367763
"301",10.9401272519695
"302",10.3329220577146
"303",9.67433341700193
"304",9.060496385808
"305",8.57194931233588
"306",8.31189095706648
"307",8.34419163771182
"308",8.66221864943184
"309",9.23781475696801
"310",10.0115152795528
"311",10.8427175044379
"312",11.5771207012333
"313",12.0649970932436
"314",12.1960438056747
"315",11.9243959155161
"316",11.295507303809
"317",10.4835490112379
"318",9.62722763629088
"319",8.90021738578041
"320",8.42241500226864
"321",8.24751559321829
"322",8.35352481126406
"323",8.71863625290831
"324",9.2680653183291
"325",9.96843048442581
"326",10.6701963416257
"327",11.2770595129002
"328",11.6749860545046
"329",11.8203058156506
"330",11.7017465715835
"331",11.3010725014972
"332",10.6931822871104
"333",10.0581551780067
"334",9.51206719506705
"335",9.09857765144456
"336",8.87005003209041
"337",8.85435839377314
"338",9.09631301233786
"339",9.48974809598651
"340",9.88424986691529
"341",10.2207764479143
"342",10.4180961088182
"343",10.4572458045623
"344",10.3189617842746
"345",10.0797120151719
"346",9.84069782004523
"347",9.65736032218691
"348",9.5296883041287
"349",9.47451946444419
"350",9.51845618549443
"351",9.62575504728236
"352",9.77539850940212
"353",9.97917127681092
"354",10.2328719514587
"355",10.5093695608857
"356",10.7787996845597
"357",11.0240028148732
"358",11.2110111228893
"359",11.3293810426536
"360",11.366321263263
"361",11.304427795844
"362",11.1013026806108
"363",10.7050461618794
"364",10.053050420578
"365",9.18493784763596
"366",8.24910765754514
"367",7.41750409489728
"368",6.83714376665217
"369",6.61614669314785
"370",6.85417506821975
"371",7.66630452207564
"372",9.17696786908565
"373",11.4435384953812
"374",14.2935988897088
"375",17.1212319864739
"376",18.6865015635335
"377",18.0126364188728
"378",15.6643688444806
"379",12.7387775854259
"380",10.2111051366631
"381",8.44902454974798
"382",7.36241501341386
"383",6.85125738402638
"384",6.79910548428321
"385",7.08560012880536
"386",7.62718077031182
"387",8.36195868803387
"388",9.15893782185772
"389",9.9005714994111
"390",10.5390186566646
"391",11.0352614856706
"392",11.4158686309725
"393",11.6531122102862
"394",11.7665671500107
"395",11.7058395510648
"396",11.4717565907426
"397",11.1423106294854
"398",10.7264522515585
"399",10.2548471540471
"400",9.81259904135958
"401",9.44999535660742
"402",9.20329807437952
"403",9.06529089831419
"404",9.04430924091072
"405",9.15235728718559
"406",9.38488657934399
"407",9.73953614862258
"408",10.1652080993428
"409",10.5793788745589
"410",10.8615363565321
"411",10.871716761833
"412",10.5657450216336
"413",10.11092437378
"414",9.59478789422505
"415",9.13983558200679
"416",8.87202629736409
"417",8.82452297873036
"418",9.03013861022641
"419",9.48199240119962
"420",10.104404697279
"421",10.7627148327888
"422",11.3043677342509
"423",11.5912276540987
"424",11.5925472152895
"425",11.3576519566796
"426",10.9603587714324
"427",10.4340103061626
"428",9.81625877390668
"429",9.20385739649333
"430",8.69587668183568
"431",8.42849459237907
"432",8.41747819267094
"433",8.66199260698017
"434",9.15006839105209
"435",9.83537778457878
"436",10.6229602608558
"437",11.3410653436451
"438",11.8326522836643
"439",12.0392464181554
"440",11.9136505347491
"441",11.4294961084988
"442",10.6892225830452
"443",9.86339869506958
"444",9.09872855668842
"445",8.54036137029497
"446",8.28540812872057
"447",8.35551603425112
"448",8.6506669749761
"449",9.13361211450924
"450",9.74779380828331
"451",10.4206568285514
"452",11.0708089114954
"453",11.579932379957
"454",11.8090522184728
"455",11.6966220858705
"456",11.2703406932031
"457",10.659516631158
"458",10.0400590140457
"459",9.54175793759903
"460",9.18233140832101
"461",8.95640616824937
"462",8.94727238294479
"463",9.1586722489945
"464",9.49990355107259
"465",9.88110459291515
"466",10.231741479515
"467",10.4622745615774
"468",10.472058693633
"469",10.3137875689285
"470",10.0934008532447
"471",9.87951373759704
"472",9.69865273666461
"473",9.58921710833255
"474",9.54371054817301
"475",9.56994648265317
"476",9.6457456930787
"477",9.77661122121612
"478",9.92556363239489
"479",10.0579937494787
"480",10.1980787836599
"481",10.3794253396494
"482",10.5855259011964
"483",10.8145651897752
"484",11.0679983670035
"485",11.350044564879
"486",11.540015519738
"487",11.5253371847157
"488",11.1994385102739
